"id","parent_id","usuario_id","tipo_sigo_id","tipo_marca_id","clase_id","pais_id","numero_solicitud","nombre","numero_registro","fecha_registro","numero_renovacion","numero_publicacion","numero_gaceta","fecha_publicacion","fecha_importacion","activo","valido","importado","activa","created_at","updated_at","anterior","propia"
10044,0,1,1,1,5,,"2243-1991","ELDICET","53816-C",06/10/1992,"60251-A","55826","1741",05/08/1992,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10045,0,1,1,1,5,,"0358-1996","ELEVAL","67467-C",04/09/1998,"72660-A","71822","1960",13/12/1996,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10048,0,1,1,1,5,,"0680-1988","ESPECTOSINA - 666","48243-C",30/01/1989,"54655-A","49215","1565",22/09/1988,07/08/2010,0,1,0,0,07/08/2010,07/08/2010,0,1
10049,0,1,1,2,42,,"98-2200","ESPRIT DE VIE","76943-C",01/02/2000,,"82319","2131",19/04/1999,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10051,0,1,1,1,5,,"98-2132","ESTRAVID MP","76936-C",01/02/2000,,"82284","2131",19/04/1999,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10052,0,1,1,1,5,,"1201-1988","ETIQUETA REC ZIPEPROL","48409-C",07/03/1989,"54717-A","49736","1574",09/01/1989,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10053,0,1,1,2,42,,"1529-1996","EURO NUTRITION","73192-C",05/07/1999,,"72766","1967",17/01/1997,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10055,0,1,1,1,5,,"2416-1996","FASTCAPS","68692-C",09/11/1998,,"73283","1967",17/01/1997,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10175,0,1,1,1,5,,"1287-1991","TENSODOX","52733-C",28/01/1992,"60207-A","54894","1715",13/12/1991,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10176,0,1,1,1,5,,"0360-1989","TEOBRIL","49113-C",16/08/1989,"55356-A","50494","1601",23/06/1989,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
